date,value
2024/3/27,36362204
2024/3/28,35887658
2024/3/29,35093260
2024/3/30,34330483
2024/3/31,32155157
2024/4/1,34199499
2024/4/2,36325791
2024/4/3,35697442
2024/4/4,32198388
2024/4/5,32271233
2024/4/6,33409695
2024/4/7,34106749
2024/4/8,35351466
2024/4/9,36067229
2024/4/10,36259038
2024/4/11,35970502
2024/4/12,35858810
2024/4/13,36006171
2024/4/14,36120349
2024/4/15,35691121
2024/4/16,35121699
2024/4/17,35231175
2024/4/18,35292018
2024/4/19,35849589
2024/4/20,35109710
2024/4/21,34257102
2024/4/22,34656696
2024/4/23,36270605
2024/4/24,34371817
2024/4/25,34115238
2024/4/26,33862041
2024/4/27,33641568
2024/4/28,33341528
2024/4/29,32725792
2024/4/30,31286733
2024/5/1,24617668
2024/5/2,24635019
2024/5/3,25756767
2024/5/4,28857160
2024/5/5,31034613
2024/5/6,33015522
2024/5/7,33289492
2024/5/8,33544821
2024/5/9,34287547
2024/5/10,34973620
2024/5/11,35491117
2024/5/12,33823668
2024/5/13,34708327
2024/5/14,35091921
2024/5/15,34158798
2024/5/16,34893722
2024/5/17,35715249
2024/5/18,35447550
2024/5/19,34626718
2024/5/20,0
2024/5/21,36151061
2024/5/22,35960785
2024/5/23,35390214
2024/5/24,36173574
2024/5/25,35740135
2024/5/26,34466897
2024/5/27,34005008
2024/5/28,34107261
2024/5/29,34095587
2024/5/30,34669296
2024/5/31,33965198
2024/6/1,33114064
2024/6/2,33535001
2024/6/3,33895459
2024/6/4,34953954
2024/6/5,35377317
2024/6/6,34580072
2024/6/7,34501484
2024/6/8,32707507
2024/6/9,29862708
2024/6/10,28092027
2024/6/11,31716820
2024/6/12,33292857
2024/6/13,33982639
2024/6/14,35769327
2024/6/15,34468830
2024/6/16,33554409
2024/6/17,34288120
2024/6/18,35407161
2024/6/19,35443684
2024/6/20,35811329
2024/6/21,37019065
2024/6/22,35606620
2024/6/23,34267775
2024/6/24,35376537
2024/6/25,35558046
2024/6/26,35720053
2024/6/27,35441738
2024/6/28,35544597
2024/6/29,36964565
2024/6/30,34204271
2024/7/1,36442362
2024/7/2,37528757
2024/7/3,35409978
2024/7/4,37469148
2024/7/5,37540474
2024/7/6,35980984
2024/7/7,35845615
2024/7/8,36302272
2024/7/9,36437525
2024/7/10,35719709
2024/7/11,35853702
2024/7/12,36546910
2024/7/13,36217195
2024/7/14,34971760
2024/7/15,36521749
2024/7/16,38191837
2024/7/17,37618353
2024/7/18,35888458
2024/7/19,36191748
2024/7/20,36366264
2024/7/21,34420464
2024/7/22,36889106
2024/7/23,36122801
2024/7/24,36394786
2024/7/25,36486783
2024/7/26,36307350
2024/7/27,36627160
2024/7/28,35394613
2024/7/29,35154696
2024/7/30,34690084
2024/7/31,34107700
2024/8/1,34527212
2024/8/2,34277467
2024/8/3,35228232
2024/8/4,33810198
2024/8/5,35654751
2024/8/6,36261643
2024/8/7,36426817
2024/8/8,36557023
2024/8/9,36715632
2024/8/10,36220821
2024/8/11,34652226
2024/8/12,36049585
2024/8/13,37229082
2024/8/14,38272423
2024/8/15,37698602
2024/8/16,37663464
2024/8/17,37910952
2024/8/18,36960504
2024/8/19,38884447
2024/8/20,39350484
2024/8/21,38378529
2024/8/22,38047262
2024/8/23,38569167
2024/8/24,37936238
2024/8/25,37402471
2024/8/26,39229685
2024/8/27,37103212
2024/8/28,36237641
2024/8/29,36416799
2024/8/30,37259718
2024/8/31,36649408
2024/9/1,36590833
2024/9/2,37209488
2024/9/3,37000249
2024/9/4,37610299
2024/9/5,39834808
2024/9/6,37868618
2024/9/7,37505432
2024/9/8,37078346
2024/9/9,38106500
2024/9/10,39490455
2024/9/11,40266912
2024/9/12,39921713
2024/9/13,40338457
2024/9/14,39127248
2024/9/15,35740451
2024/9/16,33716436
2024/9/17,31259061
2024/9/18,35395107
2024/9/19,38224869
2024/9/20,39461771
2024/9/21,36539265
2024/9/22,35360152
2024/9/23,36090921
2024/9/24,36037569
2024/9/25,36602955
2024/9/26,36639198
2024/9/27,36431213
2024/9/28,35775653
2024/9/29,34536065
2024/9/30,33557133
2024/10/1,25106781
2024/10/2,24378157
2024/10/3,25454522
2024/10/4,28202922
2024/10/5,31147882
2024/10/6,33545689
2024/10/7,34710476
2024/10/8,35417924
2024/10/9,36916958
2024/10/10,36965369
2024/10/11,37010194
2024/10/12,37176371
2024/10/13,37433081
2024/10/14,37875833
2024/10/15,38594002
2024/10/16,38000511
2024/10/17,38110290
2024/10/18,39346207
2024/10/19,37338048
2024/10/20,36343395
2024/10/21,37918068
2024/10/22,39490126
2024/10/23,36845035
2024/10/24,35921995
2024/10/25,36004761
2024/10/26,35218754
2024/10/27,35320454
2024/10/28,35203265
2024/10/29,36320820
2024/10/30,36766130
2024/10/31,35584697
2024/11/1,35562370
2024/11/2,36130690
2024/11/3,36008737
2024/11/4,37367322
2024/11/5,37688196
2024/11/6,37280874
2024/11/7,37691293
2024/11/8,37824835
2024/11/9,38050020
2024/11/10,36974200
2024/11/11,37459928
2024/11/12,38248928
2024/11/13,39067955
2024/11/14,39435478
2024/11/15,38916417
2024/11/16,38935418
2024/11/17,36808396
2024/11/18,38065985
2024/11/19,38838306
2024/11/20,37934745
2024/11/21,38076003
2024/11/22,38271751
2024/11/23,38095998
2024/11/24,37178815
2024/11/25,39176437
2024/11/26,0
2024/11/27,38073463
2024/11/28,37957735
2024/11/29,36857564
2024/11/30,36636780
2024/12/1,35739813
2024/12/2,37868531
2024/12/3,37802067
2024/12/4,38350640
2024/12/5,38362991
2024/12/6,38224764
2024/12/7,38306096
2024/12/8,37425312
2024/12/9,38857212
2024/12/10,39656560
2024/12/11,39577922
2024/12/12,40374505
2024/12/13,40196856
2024/12/14,39040423
2024/12/15,37884592
2024/12/16,38460127
2024/12/17,38980241
2024/12/18,38994514
2024/12/19,39195033
2024/12/20,38874495
2024/12/21,38652573
2024/12/22,37457784
2024/12/23,37989404
2024/12/24,39063018
2024/12/25,38544965
2024/12/26,38271809
2024/12/27,38775280
2024/12/28,37914842
2024/12/29,36892802
2024/12/30,37214401
2024/12/31,35827545
2025/1/1,33372058
2025/1/2,36765117
2025/1/3,38223311
2025/1/4,40088528
2025/1/5,39444263
2025/1/6,39916425
2025/1/7,40153709
2025/1/8,40039453
2025/1/9,40036843
2025/1/10,39746974
2025/1/11,39295316
2025/1/12,38111691
2025/1/13,38185241
2025/1/14,38180981
2025/1/15,37141396
2025/1/16,35528731
2025/1/17,34047473
2025/1/18,31855324
2025/1/19,29165971
2025/1/20,26824127
2025/1/21,24087137
2025/1/22,20934954
2025/1/23,18233396
2025/1/24,15141754
2025/1/25,11173988
2025/1/26,8508969
2025/1/27,6771382
2025/1/28,5643548
2025/1/29,5297131
2025/1/30,5372217
2025/1/31,6016895
2025/2/1,7815383
2025/2/2,10197572
2025/2/3,13845898
2025/2/4,18458542
2025/2/5,23225697
2025/2/6,28142145
2025/2/7,31256902
2025/2/8,32863957
2025/2/9,33620554
2025/2/10,35319249
2025/2/11,36479116
2025/2/12,35000602
2025/2/13,36162324
2025/2/14,37622749
2025/2/15,37708649
2025/2/16,37180054
2025/2/17,38730761
2025/2/18,39900952
2025/2/19,39700758
2025/2/20,40239902
2025/2/21,40467042
2025/2/22,40288073
2025/2/23,39178675
2025/2/24,39702487
2025/2/25,39787824
2025/2/26,39287038
2025/2/27,39313077
2025/2/28,38826990
2025/3/1,38900656
2025/3/2,40199856
2025/3/3,40491014
2025/3/4,41142567
2025/3/5,40022950
2025/3/6,39270436
2025/3/7,39659234
2025/3/8,38216507
2025/3/9,37103538
2025/3/10,38297512
2025/3/11,38960427
2025/3/12,38975161
2025/3/13,39012793
2025/3/14,39403212
2025/3/15,39701457
2025/3/16,37545177
2025/3/17,38465393
2025/3/18,38444914
2025/3/19,38244123
2025/3/20,37716118
2025/3/21,37494891
2025/3/22,36770363
2025/3/23,37178980
2025/3/24,37510012
2025/3/25,37621463
2025/3/26,37850604
2025/3/27,39818750
2025/3/28,38560712
2025/3/29,37671713
2025/3/30,36339557
2025/3/31,36319469
2025/4/1,36591826
2025/4/2,36891817
2025/4/3,36064550
2025/4/4,34293285
2025/4/5,33139425
2025/4/6,34094842
2025/4/7,36106296
2025/4/8,37324738
2025/4/9,37721972
2025/4/10,37346201
2025/4/11,37957277
2025/4/12,37514468
2025/4/13,36085076
2025/4/14,37385287
2025/4/15,36754164
2025/4/16,36644086
2025/4/17,37519654
2025/4/18,37751197
2025/4/19,36733350
2025/4/20,35356991
2025/4/21,37279649
2025/4/22,36627036
2025/4/23,36135678
2025/4/24,36264899
2025/4/25,36116023
2025/4/26,35850903
2025/4/27,36523180
2025/4/28,34787542
2025/4/29,33480700
2025/4/30,30986425
2025/5/1,23736156
2025/5/2,22685060
2025/5/3,23662107
2025/5/4,25994447
2025/5/5,29349705
2025/5/6,33850635
2025/5/7,35277660
2025/5/8,36885187
2025/5/9,38610539
2025/5/10,36561706
2025/5/11,34890997
2025/5/12,36137659
2025/5/13,36926780
2025/5/14,38519180
2025/5/15,37272903
2025/5/16,37656537
2025/5/17,37344982
2025/5/18,36147200
2025/5/19,37204813
2025/5/20,37648110
2025/5/21,37567671
2025/5/22,37888311
2025/5/23,38931687
2025/5/24,36636770
2025/5/25,35856123
2025/5/26,36736023
2025/5/27,37107142
2025/5/28,36717528
2025/5/29,36332634
2025/5/30,35111767
2025/5/31,31944893
2025/6/1,30434548
2025/6/2,32952639
2025/6/3,34092116
2025/6/4,35470157
2025/6/5,36834350
2025/6/6,37026442
2025/6/7,37540093
2025/6/8,36198451
2025/6/9,37364661
2025/6/10,36537920
2025/6/11,36768490
2025/6/12,36817174
2025/6/13,37881020
2025/6/14,37279448
2025/6/15,35735266
2025/6/16,36295425
2025/6/17,36615164
2025/6/18,37975029
2025/6/19,40048420
2025/6/20,38264198
2025/6/21,36842881
2025/6/22,35193803
2025/6/23,36850956
2025/6/24,37253626
2025/6/25,37253067
2025/6/26,39155145
2025/6/27,38226068
2025/6/28,37238568
2025/6/29,35925314
2025/6/30,34938414
2025/7/1,36196603
2025/7/2,36676757
2025/7/3,36926184
2025/7/4,37297638
2025/7/5,36613750
2025/7/6,35582270
2025/7/7,37992065
2025/7/8,38551017
2025/7/9,39241022
2025/7/10,39568452
2025/7/11,39590546
2025/7/12,39167427
2025/7/13,38076597
2025/7/14,37888953
2025/7/15,40187602
2025/7/16,39866479
2025/7/17,39022719
2025/7/18,39088003
2025/7/19,38598110
2025/7/20,38149766
2025/7/21,39796346
2025/7/22,40185333
2025/7/23,39880831
2025/7/24,39303109
2025/7/25,39683767
2025/7/26,38744912
2025/7/27,37184167
2025/7/28,38420158
2025/7/29,38476588
2025/7/30,38536562
2025/7/31,38592036
2025/8/1,38856279
2025/8/2,38323246
2025/8/3,37306249
2025/8/4,39202826
2025/8/5,39845630
2025/8/6,40062763
2025/8/7,39591873
2025/8/8,40229127
2025/8/9,41622920
2025/8/10,37640252
2025/8/11,38799651
2025/8/12,39816627
2025/8/13,40910172
2025/8/14,41630194
2025/8/15,41672863
2025/8/16,40821933
2025/8/17,40039602
2025/8/18,41283379
2025/8/19,40878049
2025/8/20,40915164
2025/8/21,40563066
2025/8/22,40342057
2025/8/23,40046756
2025/8/24,39245581
2025/8/25,40794016
2025/8/26,40170230
2025/8/27,40980079
2025/8/28,40698665
2025/8/29,39889440
2025/8/30,40267737
2025/8/31,37417052
2025/9/1,34956017
2025/9/2,36309369
2025/9/3,38317451
2025/9/4,39819742
2025/9/5,41822739
2025/9/6,41402731
2025/9/7,39117573
2025/9/8,42045421
2025/9/9,40552953
2025/9/10,40502035
2025/9/11,41853721
2025/9/12,42790970
2025/9/13,40603106
2025/9/14,39354666
2025/9/15,41023800
2025/9/16,42463426
2025/9/17,40268248
2025/9/18,40190029
2025/9/19,42267447
2025/9/20,38679429
2025/9/21,38540611
2025/9/22,40790643
2025/9/23,41659973
2025/9/24,39948399
2025/9/25,82640843
2025/9/26,40340746
2025/9/27,41309560
2025/9/28,39846680
2025/9/29,37992392
2025/9/30,35147991
2025/10/1,29118968
2025/10/2,29086083
2025/10/3,28731488
2025/10/4,27957799
2025/10/5,27776557
2025/10/6,24960293
2025/10/7,29414385
2025/10/8,35578850
2025/10/9,39245896
2025/10/10,41280121
2025/10/11,41566742
2025/10/12,41166760
2025/10/13,40297531
2025/10/14,39327798
2025/10/15,41773137
2025/10/16,40829591
2025/10/17,42190338
2025/10/18,40210638
2025/10/19,39890768
2025/10/20,40736226
2025/10/21,40303967
2025/10/22,40099985
2025/10/23,40466642
2025/10/24,40315458
2025/10/25,41305819
2025/10/26,40159579
2025/10/27,39199586
2025/10/28,40311212
2025/10/29,39659346
2025/10/30,40987153
2025/10/31,40081390
2025/11/1,38748560
2025/11/2,38120027
2025/11/3,39706997
2025/11/4,40688084
2025/11/5,40413370
2025/11/6,40997192
2025/11/7,41616210
2025/11/8,41426571
2025/11/9,39415852
2025/11/10,39965527
2025/11/11,40463821
2025/11/12,40290193
2025/11/13,40253002
2025/11/14,40430200
2025/11/15,39833321
2025/11/16,38177921
2025/11/17,40368140
2025/11/18,40069780
2025/11/19,39540293
2025/11/20,39891636
2025/11/21,39264635
2025/11/22,38710045
2025/11/23,38380088
2025/11/24,38826457
